iter	Passed	Remaining
916	84590	7656
917	84688	7564
918	84781	7472
919	84875	7380
920	84970	7288
921	85063	7196
922	85155	7103
923	85245	7011
924	85330	6918
925	85428	6826
926	85520	6734
927	85613	6642
928	85704	6550
929	85793	6457
930	85911	6367
931	86003	6274
932	86094	6182
933	86185	6090
934	86278	5997
935	86373	5905
936	86462	5813
937	86545	5720
938	86639	5628
939	86728	5535
940	86818	5443
941	86912	5351
942	87012	5259
943	87103	5167
944	87191	5074
945	87286	4982
946	87377	4890
947	87471	4798
948	87568	4705
949	87652	4613
950	87749	4521
951	87838	4428
952	87954	4337
953	88051	4245
954	88143	4153
955	88238	4061
956	88323	3968
957	88413	3876
958	88505	3783
959	88595	3691
960	88689	3599
961	88791	3507
962	88878	3414
963	88965	3322
964	89051	3229
965	89145	3137
966	89235	3045
967	89322	2952
968	89417	2860
969	89516	2768
970	89608	2676
971	89700	2583
972	89796	2491
973	89892	2399
974	90015	2308
975	90112	2215
976	90208	2123
977	90306	2031
978	90399	1939
979	90494	1846
980	90594	1754
981	90688	1662
982	90780	1569
983	90876	1477
984	90960	1385
985	91050	1292
986	91141	1200
987	91232	1108
988	91325	1015
989	91416	923
990	91510	831
991	91605	738
992	91699	646
993	91792	554
994	91889	461
995	91988	369
996	92081	277
997	92197	184
998	92290	92
999	92386	0
